wgp_loss, disc_real, disc_fake, gp
-5.218278, -5.785460, -0.238908, 0.806090
-4.925318, -6.496325, 0.408809, 1.162199
-4.413094, -3.329471, -1.436125, 0.352502
-4.277861, -8.168324, 1.870715, 2.019748
-3.131337, -0.967338, -2.737571, 0.573572
-4.479316, -4.242269, -0.447800, 0.210752
-3.766955, -7.369066, 1.654525, 1.947586
-4.231568, -3.891052, -0.668020, 0.327504
-4.692263, -4.223584, -1.132619, 0.663941
-5.371208, -6.410155, 0.172544, 0.866403
-4.656782, -7.371927, 1.207682, 1.507464
-4.450033, -3.888726, -1.091917, 0.530610
-5.246429, -5.446982, -0.183494, 0.384048
-3.865490, -8.183971, 1.913934, 2.404547
-4.231493, -2.747645, -1.807159, 0.323311
-4.090036, -2.978086, -1.318428, 0.206477
-4.736509, -5.869623, 0.369194, 0.763921
-4.549445, -7.982280, 1.493556, 1.939278
-4.382883, -3.682675, -0.911878, 0.211670
-4.223183, -3.919094, -0.975319, 0.671230
-4.612418, -5.377548, -0.066772, 0.831902
-4.765569, -5.287372, 0.052342, 0.469461
-4.174445, -6.082177, 0.585503, 1.322229
-4.246715, -3.445613, -1.234343, 0.433241
-4.447044, -5.043359, 0.044710, 0.551604
-4.503431, -6.193064, 0.782378, 0.907254
-4.658411, -4.586419, -1.050053, 0.978061
-4.432746, -5.909173, 0.761124, 0.715304
-4.663377, -5.418919, 0.360542, 0.395000
-4.551949, -5.698400, 0.114436, 1.032015
-4.740934, -5.268464, -0.174820, 0.702350
-4.668257, -5.894107, 0.614754, 0.611096
-4.260799, -4.583458, -0.437068, 0.759727
-4.726286, -5.099737, -0.106419, 0.479870
-4.049640, -6.652103, 0.984897, 1.617567
-2.654765, -0.195127, -3.248483, 0.788845
-3.696895, -5.211781, 1.363757, 0.151129
-3.486445, -7.577401, 2.809379, 1.281576
-3.893458, -3.369311, -0.801184, 0.277037
-3.762410, -2.773695, -1.549923, 0.561208
-4.385626, -5.432385, 0.018352, 1.028407
-4.481936, -5.068417, 0.175991, 0.410489
-4.039709, -5.155602, 0.375560, 0.740333
-4.156785, -3.496066, -0.899117, 0.238398
-4.038628, -5.217088, 0.262690, 0.915770
-4.164952, -4.095112, -0.597923, 0.528083
-4.939201, -5.192568, -0.156153, 0.409520
-4.449421, -6.837024, 1.079912, 1.307691
-3.937909, -2.571337, -1.836942, 0.470370
-3.859030, -4.555080, 0.217479, 0.478571
-4.315225, -5.005086, -0.040869, 0.730730
-4.143924, -4.156397, -0.562255, 0.574728
-4.273674, -4.523505, -0.159870, 0.409701
-3.953449, -5.676718, 0.819916, 0.903352
-4.169042, -3.201429, -1.422260, 0.454648
-3.982378, -4.583093, 0.036352, 0.564362
-4.518680, -5.118365, 0.227656, 0.372030
-4.086990, -5.495424, 0.493050, 0.915384
-4.661087, -4.907695, -0.260549, 0.507157
-4.122136, -4.792757, 0.060109, 0.610512
-3.925907, -2.414977, -1.938025, 0.427096
-3.166178, -7.395375, 2.333923, 1.895274
-1.641621, 1.716922, -4.389960, 1.031417
-2.770300, -2.433144, -0.353345, 0.016188
-3.343789, -4.972492, 1.400484, 0.228218
-2.733476, -6.733739, 2.241480, 1.758783
-3.282749, -2.849195, -0.594514, 0.160961
-3.013871, -2.102085, -1.144135, 0.232349
-3.661500, -3.563608, -0.513337, 0.415446
-3.673968, -5.629478, 0.745839, 1.209672
-3.981865, -4.397678, 0.179818, 0.235994
-3.882967, -4.988008, 0.591070, 0.513971
-3.623321, -4.393842, 0.296959, 0.473561
-3.836860, -4.866802, 0.550443, 0.479499
-3.433636, -5.483406, 1.266900, 0.782871
-3.414781, -3.555142, -0.331082, 0.471442
-3.293663, -3.939356, 0.386354, 0.259339
-3.374874, -5.271830, 1.187690, 0.709266
-3.453165, -4.484491, 0.465966, 0.565361
-3.652458, -4.416918, 0.328412, 0.436048
-3.261439, -5.324503, 1.437086, 0.625978
-3.273354, -2.415228, -1.132125, 0.273999
-3.525302, -6.128630, 1.615401, 0.987927
-3.180274, -2.780782, -0.649729, 0.250237
-3.229039, -4.645607, 0.928732, 0.487835
-3.383015, -4.531013, 0.645921, 0.502076
-3.318612, -4.649685, 0.860810, 0.470263
-3.404939, -4.413729, 0.806466, 0.202323
-2.754749, -5.456634, 1.134015, 1.567870
-2.558164, -0.461680, -2.246653, 0.150169
-3.038908, -2.835411, -0.225942, 0.022445
-2.791314, -5.600411, 1.820529, 0.988568
-2.730364, -1.718777, -1.615889, 0.604303
-3.080877, -3.555755, 0.376851, 0.098027
-2.398928, -5.527957, 2.186527, 0.942503
-2.993476, -2.364572, -0.779985, 0.151081
-2.890800, -2.455659, -0.643538, 0.208396
-3.032353, -5.097779, 1.460380, 0.605047
-2.897579, -4.366048, 1.042678, 0.425790
-2.858845, -2.587755, -0.419952, 0.148861
-3.342837, -3.235169, -0.412960, 0.305293
-3.189212, -5.723086, 1.716289, 0.817584
-2.917637, -2.841486, -0.243423, 0.167272
-2.820317, -2.380641, -0.787603, 0.347928
-3.118084, -4.470137, 0.823447, 0.528605
-2.991581, -3.276135, 0.176300, 0.108254
-3.044163, -4.635596, 0.800117, 0.791316
-2.621922, -3.655686, 0.445732, 0.588032
-2.698904, -2.351124, -0.439879, 0.092100
-2.965040, -4.720281, 1.137498, 0.617743
-2.929738, -3.266635, 0.144556, 0.192342
-2.354775, -4.466688, 1.470462, 0.641451
-2.817363, -2.575387, -0.462552, 0.220577
-2.828995, -3.429992, 0.114931, 0.486066
-2.886290, -3.692895, 0.703919, 0.102686
-2.630271, -4.937114, 1.499969, 0.806874
-2.971182, -2.957611, -0.252028, 0.238458
-2.918561, -3.793092, 0.447049, 0.427481
-2.985103, -5.296304, 1.988883, 0.322317
-2.670612, -4.168592, 0.941714, 0.556266
-2.636036, -3.141482, 0.245869, 0.259577
-2.572655, -4.493815, 1.479969, 0.441191
-2.580633, -2.284037, -0.466886, 0.170290
-2.545352, -4.594321, 1.501947, 0.547022
-2.614844, -2.875367, 0.103065, 0.157458
-2.621683, -4.849422, 1.593328, 0.634411
-2.489026, -1.853752, -0.791675, 0.156401
-2.533392, -3.598273, 0.774793, 0.290087
-2.458951, -5.153678, 2.068527, 0.626201
-2.357998, -1.292146, -1.282022, 0.216169
-2.591104, -4.004933, 1.287244, 0.126586
-2.606832, -5.088102, 1.911194, 0.570076
-2.508145, -2.267494, -0.498724, 0.258072
-2.658727, -3.439368, 0.361147, 0.419493
-2.445127, -2.842557, 0.290020, 0.107410
-2.659878, -3.305642, 0.270720, 0.375043
-2.601854, -3.611087, 0.692483, 0.316750
-2.694288, -3.606299, 0.616838, 0.295173
-2.470582, -2.948758, 0.021819, 0.456356
-2.599353, -2.839746, 0.102645, 0.137747
-2.570560, -2.993446, -0.060561, 0.483447
-2.603990, -2.728003, -0.087146, 0.211158
-2.391132, -4.807182, 1.801071, 0.614980
-2.254184, -0.651733, -2.071026, 0.468575
-2.168726, -3.319465, 1.082192, 0.068547
-2.265061, -4.558093, 1.694042, 0.598989
-2.378778, -0.843680, -1.737027, 0.201929
-2.226577, -1.531159, -0.916464, 0.221046
-2.689294, -3.490342, 0.408358, 0.392690
-2.406589, -4.339827, 1.433375, 0.499863
-2.386860, -1.920886, -0.721674, 0.255701
-2.590136, -1.836139, -0.971509, 0.217511
-2.552373, -3.614472, 0.782139, 0.279961
-2.529931, -3.619120, 0.644327, 0.444862
-2.550864, -3.041164, 0.367825, 0.122476
-2.396755, -3.436035, 0.423537, 0.615742
-2.605864, -1.715363, -1.037853, 0.147352
-2.255476, -3.583612, 1.004217, 0.323919
-2.563397, -2.225928, -0.692770, 0.355302
-2.413640, -3.639670, 0.892400, 0.333631
-2.348345, -1.119433, -1.441094, 0.212181
-2.431541, -2.821939, 0.151936, 0.238461
-2.400311, -3.557599, 0.540621, 0.616668
-2.348367, -1.080468, -1.509814, 0.241914
-2.327218, -2.083847, -0.316893, 0.073521
-2.448334, -3.528412, 0.399538, 0.680540
